# Bracket Rankings (Tournament 20260129_133917)
# Generated: 2026-01-29 13:39:17
# Format: BO3 FT5
#
# Rank | Profile                  | Match W-L | Game W-L
# -----+--------------------------+-----------+---------
     1 | v4_RS_Eagle              |   11-1    |  23-6  
    19 | v12_Evo_H                |    9-3    |  19-12 
    19 | v12_Evo_K                |    8-2    |  17-8  
    22 | v12_Evo_E                |    7-3    |  17-10 
    22 | v12_Evo_J                |    7-3    |  14-8  
    22 | v4_Tri_B                 |    6-3    |  15-9  
    20 | v12_Evo_AA               |    6-2    |  14-5  
    20 | v12_Evo_AO               |    6-3    |  14-8  
    23 | v4_RS_Hawk               |    6-3    |  14-10 
     2 | v12_Evo_AJ               |    6-2    |  13-8  
    23 | v12_Evo_Z                |    4-3    |  10-9  
    21 | v12_Evo_I                |    4-2    |   8-6  
    20 | v4_Agg_82                |    4-3    |   8-7  
    23 | v12_Evo_AB               |    4-3    |   8-9  
    22 | v12_Evo_AF               |    3-3    |   8-7  
    33 | v4_Elite_C               |    3-3    |   8-8  
    23 | v12_Evo_AN               |    3-3    |   8-8  
    23 | v12_Evo_S                |    3-3    |   7-8  
    29 | v12_Evo_U                |    2-2    |   6-6  
    31 | v12_Evo_X                |    2-2    |   5-4  
    32 | v12_Evo_O                |    2-2    |   5-5  
    23 | v12_Evo_AL               |    2-2    |   5-6  
    28 | v12_Evo_C                |    2-2    |   5-6  
    23 | v12_Evo_AT               |    2-3    |   5-8  
    23 | v4_RA_Core               |    2-3    |   4-8  
    43 | v12_Evo_AR               |    1-2    |   4-4  
    39 | v4_Tri_D                 |    1-2    |   4-4  
    48 | v12_Evo_L                |    1-2    |   4-5  
    46 | v4_Qual_32               |    1-2    |   4-5  
    49 | v12_Evo_AU               |    1-2    |   3-4  
    47 | v12_Evo_Y                |    1-2    |   3-4  
    40 | v1_Rusher                |    1-2    |   3-5  
    41 | v12_Evo_B                |    1-2    |   3-5  
    50 | v12_Evo_G                |    1-2    |   2-4  
    42 | v12_Evo_Q                |    1-2    |   2-4  
    37 | v12_Evo_A                |    1-2    |   2-5  
    36 | v4_RA_Prime              |    1-2    |   2-5  
    62 | v12_Evo_M                |    0-2    |   2-4  
    59 | v12_Evo_AI               |    0-2    |   2-4  
    55 | v12_Evo_AP               |    0-2    |   2-4  
    53 | v12_Evo_T                |    0-2    |   2-4  
     3 | v4_RP_Zeta               |    0-1    |   1-2  
     4 | v12_Evo_AD               |    0-1    |   1-2  
     8 | v12_Evo_AM               |    0-1    |   1-2  
     9 | v4_Elite_A               |    0-1    |   1-2  
    10 | v12_Evo_F                |    0-1    |   1-2  
    12 | v12_Evo_V                |    0-1    |   1-2  
    14 | v12_Evo_AK               |    0-1    |   1-2  
    15 | v12_Evo_W                |    0-1    |   1-2  
    16 | v12_Evo_AQ               |    0-1    |   1-2  
    17 | v12_Evo_N                |    0-1    |   1-2  
    18 | v12_Evo_AE               |    0-1    |   1-2  
    61 | v12_Evo_AS               |    0-2    |   1-4  
    58 | v4_Agg_88                |    0-2    |   1-4  
    54 | v12_Evo_P                |    0-2    |   1-4  
    57 | v4_RP_Epsilon            |    0-2    |   1-4  
     5 | v4_Elite_F               |    0-1    |   0-2  
     6 | v12_Evo_AC               |    0-1    |   0-2  
     7 | v12_Evo_D                |    0-1    |   0-2  
    11 | v4_Pat_40                |    0-1    |   0-2  
    13 | v12_Evo_AV               |    0-1    |   0-2  
    64 | v12_Evo_R                |    0-2    |   0-4  
    63 | v12_Evo_AG               |    0-2    |   0-4  
    56 | v12_Evo_AH               |    0-2    |   0-4  
